Hargobinangun,village,-7.587395271446844,110.43099374008378
Sukoharjo,village,-7.703398177271042,110.42684714843124
Sumberadi,village,-7.719855392970362,110.3302040761635
Pondokrejo,village,-7.663846234373314,110.30805166860944
Widodomartani,village,-7.699521365787652,110.44850345747814
Merdikorejo,village,-7.635105790805048,110.34765357988549
Sindumartani,village,-7.693842583607851,110.47499329922037
Margokaton,village,-7.720418068419788,110.28688973812766
Sumberrejo,village,-7.677577758473133,110.29609483415256
Banyurejo,village,-7.6997589022637944,110.28554744876745
Sendangadi,village,-7.733336793695367,110.36212197549399
Bimomartani,village,-7.698263895291522,110.46322504111268
Pandowoharjo,village,-7.6984133240896275,110.36923639418806
Purwobinangun,village,-7.627428157710739,110.4040948199207
Trimulyo,village,-7.67865801615018,110.35660630766881
Bangunkerto,village,-7.6452271762882456,110.35719210779675
Lumbungrejo,village,-7.648798804994846,110.32567180857095
Donokerto,village,-7.660257704533437,110.37318584223154
Mororejo,village,-7.672101996106399,110.31973897151293
Margodadi,village,-7.735077935530433,110.29369164246378
Sendangrejo,village,-7.725385003073745,110.26891697765552
Banjaroyo,village,-7.65957394787455,110.23893285406614
Sariharjo,village,-7.730204750394381,110.37900202206201
Kepuhharjo,village,-7.609258136975834,110.45146220068696
Wukirsari,village,-7.652132779219632,110.44472938447707
Girikerto,village,-7.6124479309877895,110.39915273322181
Donoharjo,village,-7.693281956550272,110.38325687961039
Sinduharjo,village,-7.726918303938902,110.39978568156295
Umbulharjo,village,-7.615116232083393,110.43798423466639
Tridadi,village,-7.71237985449047,110.35323061326508
Selomartani,village,-7.724163201658731,110.46185309746048
Tamanmartani,village,-7.743535449388233,110.48218800259215
Argomulyo,village,-7.668919614719251,110.46194921400313
Harjobinangun,village,-7.668967522558197,110.40972236990348
Candibinangun,village,-7.658125466899212,110.40296304498861
Daerah Istimewa Yogyakarta,village,-8.014731635381183,110.40713065891288
Srumbung,village,-7.579498778202863,110.3780084655387
Salatiga,village,-7.338297700711239,110.49846352900742
Kabupaten Semarang,village,-7.272109917001019,110.47528244705703
Magelang,village,-7.501603574183771,110.24676871040603
Temanggung,village,-7.257858899272788,110.13563325566128
Boyolali,village,-7.417141733232471,110.65210964125879
Klaten,village,-7.686091488764934,110.6195875228358
